review_id,review,product_category,rating,script_type
11,Ee phone thumba chennagide! Battery life bahala olledhu matte camera picture quality idu heege beku antidde. Belegge takkante tumba olledu.,Electronics,5,Romanized Kannada
12,Dress design chennagide aadre size chart sari illa. Medium tondide aadre tumba chikka bandu. Return process kuda kashta aitu.,Clothing,2,Romanized Kannada
13,Ee kuukker tumba bega andhava maaduttade. Stainless steel quality okkidhe matte clean maadalu sulabha. Full paisa vasool!,Home & Kitchen,5,Romanized Kannada
14,Ee earphones sound quality tumba kharaaba. Bass practically illave. Noise cancellation gelosa aagolla. Waste of money.,Electronics,1,Romanized Kannada
15,Product swalpa okay aitu. Price ge comparison maadidre better expect madidde aadre overall narasattavalla.,Home & Kitchen,3,Romanized Kannada
16,Excellent product! Works exactly as described. Delivery was fast and packaging was secure. Highly recommend to everyone!,Electronics,5,English
17,Good quality shirt. The fabric is soft and comfortable. Stitching is neat and the color has not faded after multiple washes.,Clothing,4,English
18,Very disappointed. Product stopped working after just two days. Build quality is extremely poor. Not worth the price at all.,Electronics,1,English
19,The book is poorly written with many grammar errors and factual mistakes. Completely misleading title. Total waste of money.,Books,1,English
20,Decent product for the price. Nothing extraordinary but gets the job done. Delivery was on time and packaging was adequate.,Sports,3,English
